pk;play_count;comment_count;like_count;video_duration;crawl_time;post_timestamp;caption;username
3498327328616845905;0;23;176;0.0;2025-03-24 15:16:09;2024-11-10 15:38:57;"Ini dia yang kita tunggu-tunggu! Di momen ulang tahun pertama CPCM ini ada undian hadah spektakuler.

Dengan bermain di CPCM kamu bisa memenangkan hadiah satu mobil BAIC, sepeda listrik dan Iphone 15 Pro. Dan setiap pembelian top up dengan paket Rp 100.000 kamu akan dapat 1 kupon undian ini.

Ayo segera main ke CPCM Pluit Village and Carstensz Mall. Program berlaku sejak 11 November 2024 - April 2025

#CPCM  #CowPlayCowMoo #CPCMIndonesia #CowPlayCowMooIndonesia #playground #cpcmindonesia  #undianberhadiah #undian #cpcm1stanniv";cpcm.id
3583083835211773941;35829;16;73;23.5;2025-03-24 15:16:09;2025-03-07 14:16:21;"Dapet merchandise Donald Duck gratis tanpa tuker tiket? Bisa kok! Yuk ke CPCM KUJI edisi Donald Duck. Hanya di bulan ini kami bisa bawa pulang merch lucu ini. Semuanya asli berlisensi Disney! Tunggu apalagi? Yuk top up sekarang!

#CPCM  #CowPlayCowMoo #CPCMIndonesia #CowPlayCowMooIndonesia #playground #cpcmindonesia  #gamearcade";cpcm.id
3585096792113335250;4528;0;53;44.216;2025-03-24 15:16:09;2025-03-10 09:09:59;"Serunya ngabuburit  di Cow Play Cow Moo‼️

Kalo udah main sama bestie kalian di @cpcm.id dijamin lupa waktu deh. Semua permainannya seru-seru🥳
Selama Ramadhan @cpcm.id juga lagi ada promo lho 👉 BONUS TOP UP HINGGA 20%! Setiap hari, mulai dari jam 4 sore - 7 malam. Nikmati kesempatan berlipat berkah. Yuk top up sekarang juga‼️

📍Lt. 2

#cpcm #cowplaycowmooindonesia #pluitvillagemall #cpcmindonesia #playground #gamearcade #promo #LMIReelsContestMar25";pluit_village
3585635083153066262;4470;17;76;30.666;2025-03-24 15:16:09;2025-03-11 02:44:18;"Kejutan di Setiap Ketupat! Top up sekarang dan buka ketupatmu untuk hadiah langsung! Dari merchandise eksklusif hingga bonus permainan, setiap ketupat menyimpan kejutan seru. Siap mencoba keberuntunganmu?

Jangan sampai ketinggalan—top up dan mulai buka ketupatnya hari ini! 🎊🎮 #KetupatSurprise #TopUpDapatHadiah #BukaKetupatMenangBanyak";cpcm.id
3586689131138237678;0;39;68;0.0;2025-03-24 15:16:09;2025-03-12 13:38:04;"Bayangkan kamu berhasil menang dan mengumpulkan 500.000 tiket!

Sekarang waktunya tukar hadiah impianmu! Kamu bakal pilih?
 
Tulis jawabanmu di komentar & lihat siapa yang punya pilihan hadiah paling seru!

#gamearcade #cpcm #cpcmid";cpcm.id
3587338825842369378;2689;0;39;34.713;2025-03-24 15:16:09;2025-03-13 11:09:24;"📢 IDEANET Hadir di Cow Play Cow Moo! 🎮🚀

Cow Play Cow Moo kini makin seru dengan internet super cepat dari IDEANET! 🔥

✅ Koneksi stabil untuk pengalaman arcade game maksimal
✅ Transaksi makin lancar tanpa hambatan
✅ Bisnis jadi lebih efisien dengan jaringan andal

Buat kamu yang punya bisnis dan butuh internet cepat, IDEANET adalah solusinya! 💼📡

🎟️ Main, kumpulkan tiket, dan tukarkan merchandise keren di CPCM! 🎁✨

#CowPlayCowMoo #CPCM #Ideanet #GamingTanpaBatas #InternetUntukBisnis";my.ideanet
3587436858864067752;0;32;53;0.0;2025-03-24 15:16:09;2025-03-13 14:23:40;"Siap traveling dengan gaya? Koper Rolling ini bikin perjalananmu makin praktis dan stylish!

✔️ Pesan sekarang – pilih warna favoritmu!
 ✔️ Ringan & tahan lama untuk perjalanan tanpa ribet
 ✔️ Stok terbatas – jangan sampai kehabisan!

Tulis warna favoritmu di komentar & dapatkan sekarang!

#koper #mudiklebaran2025 #cpcm #cpcm #cpcmid";cpcm.id
3588150183029837726;81301;51;1535;33.933;2025-03-24 15:16:09;2025-03-14 14:02:02;"Mau jadi bintang TikTok kayak Fuji? Sekarang giliran kamu pamer gaya kece main bowling di CPCM Pluit Village! 

Periode lomba: 14 – 31 Maret 2025

📌 Cara Ikutan:
1️⃣ Datang & main bowling di CPCM Pluit Village 
2️⃣ Rekam aksi kerenmu ala seleb TikTok! 
3️⃣ Upload & tag kami di video kamu di Tiktok atau Instagram! 
4️⃣ Gunakan Hashtag #CPCMXFujiBowling

 Menangkan hadiah spesial dari Disney & Shinchan untuk 3 pemenang! 

Jadi, siap buat viral? Yuk strike & record sekarang!  #BowlingAlaFuji #CPCMPluitVillage";cpcm.id
3589713053081744597;0;0;27;0.0;2025-03-24 15:16:09;2025-03-16 17:46:04;"Siap untuk CPCM Mega Royal Molly War? Pertempuran dimulai! Kumpulkan, bertanding, dan raih merchandise dari @popmartid !

#cpcm #popmart #popmartid #megaspacemolly #molly";cpcm.id
3590368970785324478;3069;6;32;61.833;2025-03-24 15:16:09;2025-03-17 15:35:19;"Dunia Sylvanian Families semakin seru dengan karakter dan set terbaru!

 Siapakah yang akan bergabung ke dalam koleksimu kali ini?
🏡 Rumah & aksesori baru yang menggemaskan
 🐻 Karakter baru yang siap berpetualang
 🌿 Cerita baru menanti untuk diciptakan

Jangan sampai kehabisan! Dapatkan sekarang dan lengkapi koleksimu!

#cpcm #cpcmid #sylvanianfamily #sylvanianfamilies";cpcm.id
3591774060947650604;0;2;31;0.0;2025-03-24 15:16:09;2025-03-19 14:00:55;"Siap untuk Mystery Box Edition? Buka kejutan dan menangkan hadiah besar! 🔥 Jangan sampai ketinggalan!

#mysterybox #newmerch #cpcm";cpcm.id
3591777563988299913;1956;0;19;30.133;2025-03-24 15:16:09;2025-03-19 14:08:52;"Ada mainan baru di CPCM, kamu bisa masuk ke banyak jenis film termasuk Aladdin. Bukan sulap bukan sihir ini dia VR Machine di CPCM @mallofindonesia . Main-main ke sini dan cobain pengalaman serunya!

#cpcm #mallofindonesia";cpcm.id
3594697373093149805;0;2;40;0.0;2025-03-25 10:02:19;2025-03-23 14:49:01;"Siap-siap bertemu dengan keajaiban dunia @sylvanian.id ! Ayo datang ke Meet and Greet di CPCM @mallofindonesia , temui langsung mascot Sylvanian yang lucu, nikmati serunya DIY activity, dan banyak keseruan lainnya! Jangan lewatkan kesempatan untuk berinteraksi dan bermain bersama karakter favoritmu. Sampai jumpa di sana!

#CPCM  #CowPlayCowMoo #CPCMIndonesia #CowPlayCowMooIndonesia #playground #cpcmindonesia  #gamearcade #sylvanianfamilies_lovers";cpcm.id
3583083835211773941;193593;16;146;23.5;2025-03-25 10:02:19;2025-03-07 14:16:21;"Dapet merchandise Donald Duck gratis tanpa tuker tiket? Bisa kok! Yuk ke CPCM KUJI edisi Donald Duck. Hanya di bulan ini kami bisa bawa pulang merch lucu ini. Semuanya asli berlisensi Disney! Tunggu apalagi? Yuk top up sekarang!

#CPCM  #CowPlayCowMoo #CPCMIndonesia #CowPlayCowMooIndonesia #playground #cpcmindonesia  #gamearcade";cpcm.id
3498327328616845905;0;23;178;0.0;2025-03-25 10:02:19;2024-11-10 15:38:57;"Ini dia yang kita tunggu-tunggu! Di momen ulang tahun pertama CPCM ini ada undian hadah spektakuler.

Dengan bermain di CPCM kamu bisa memenangkan hadiah satu mobil BAIC, sepeda listrik dan Iphone 15 Pro. Dan setiap pembelian top up dengan paket Rp 100.000 kamu akan dapat 1 kupon undian ini.

Ayo segera main ke CPCM Pluit Village and Carstensz Mall. Program berlaku sejak 11 November 2024 - April 2025

#CPCM  #CowPlayCowMoo #CPCMIndonesia #CowPlayCowMooIndonesia #playground #cpcmindonesia  #undianberhadiah #undian #cpcm1stanniv";cpcm.id
3595410787234904688;838;0;19;15.533;2025-03-25 10:02:19;2025-03-24 14:26:49;"Yuk, abadikan momen seru dengan properti baru bertema Disney di Photobox CPCM! Dari aksesori ikonik hingga sentuhan ajaib, siap bikin fotomu makin lucu!

#cpcm #photobox #gamearcade";cpcm.id
3594466045055608640;0;2;44;0.0;2025-03-25 10:02:19;2025-03-23 07:09:25;"Gunakan kartu pelajar yang masih aktif dan dapatkan promo paket bowling serta golf hanya Rp 40 ribu.

Yuk datang ke CPCM dan ikut Fuji Trends Challenge hanya di CPCM @pluit_village. Promo senin-kamis! 

#CPCM  #CowPlayCowMoo #CPCMIndonesia #CowPlayCowMooIndonesia #playground #cpcmindonesia #bowling #bowlingfun";cpcm.id
3593231308672635671;5897;4;144;19.8;2025-03-25 10:02:19;2025-03-21 14:16:38;"Halo @mallofindonesia ! CPCM Mascot lagi keliling nih, siap bagi-bagi keseruan! 🎉
Jangan kaget kalau tiba-tiba ketemu maskot gemas kami lagi jalan-jalan sambil kasih brosur, voucher, dan hadiah seru lainnya!
Langsung aja sapa, foto bareng, dan dapetin kejutannya. Yuk, temuin kami di MOI!
#CPCMMascotOnTour #CPCMxMOI #BagiBagiVoucher #MOIFun";cpcm.id
3593228148801341272;0;28;72;0.0;2025-03-25 10:02:19;2025-03-21 14:09:56;"Kamu baru sampai di CPCM dengan segenggam token di tangan! Game apa yang pertama kali kamu mainkan? Tulis di kolom komentar!

#CPCM  #CowPlayCowMoo #CPCMIndonesia #CowPlayCowMooIndonesia #playground #cpcmindonesia";cpcm.id
3591777563988299913;2343;0;24;30.133;2025-03-25 10:02:19;2025-03-19 14:08:52;"Ada mainan baru di CPCM, kamu bisa masuk ke banyak jenis film termasuk Aladdin. Bukan sulap bukan sihir ini dia VR Machine di CPCM @mallofindonesia . Main-main ke sini dan cobain pengalaman serunya!

#cpcm #mallofindonesia";cpcm.id
3591774060947650604;0;2;34;0.0;2025-03-25 10:02:19;2025-03-19 14:00:55;"Siap untuk Mystery Box Edition? Buka kejutan dan menangkan hadiah besar! 🔥 Jangan sampai ketinggalan!

#mysterybox #newmerch #cpcm";cpcm.id
3590368970785324478;3329;6;34;61.833;2025-03-25 10:02:19;2025-03-17 15:35:19;"Dunia Sylvanian Families semakin seru dengan karakter dan set terbaru!

 Siapakah yang akan bergabung ke dalam koleksimu kali ini?
🏡 Rumah & aksesori baru yang menggemaskan
 🐻 Karakter baru yang siap berpetualang
 🌿 Cerita baru menanti untuk diciptakan

Jangan sampai kehabisan! Dapatkan sekarang dan lengkapi koleksimu!

#cpcm #cpcmid #sylvanianfamily #sylvanianfamilies";cpcm.id
3589713053081744597;0;0;28;0.0;2025-03-25 10:02:19;2025-03-16 17:46:04;"Siap untuk CPCM Mega Royal Molly War? Pertempuran dimulai! Kumpulkan, bertanding, dan raih merchandise dari @popmartid !

#cpcm #popmart #popmartid #megaspacemolly #molly";cpcm.id
3588150183029837726;88000;52;1667;33.933;2025-03-25 10:02:19;2025-03-14 14:02:02;"Mau jadi bintang TikTok kayak Fuji? Sekarang giliran kamu pamer gaya kece main bowling di CPCM Pluit Village! 

Periode lomba: 14 – 31 Maret 2025

📌 Cara Ikutan:
1️⃣ Datang & main bowling di CPCM Pluit Village 
2️⃣ Rekam aksi kerenmu ala seleb TikTok! 
3️⃣ Upload & tag kami di video kamu di Tiktok atau Instagram! 
4️⃣ Gunakan Hashtag #CPCMXFujiBowling

 Menangkan hadiah spesial dari Disney & Shinchan untuk 3 pemenang! 

Jadi, siap buat viral? Yuk strike & record sekarang!  #BowlingAlaFuji #CPCMPluitVillage";cpcm.id
