create_time;description;is_hash_tag;aweme_id;comment_count;digg_count;download_count;forward_count;lose_comment_count;lose_count;play_count;share_count;whatsapp_share_count;crawl_time
2023-09-26 09:31:53;Ketemu @Daddy n Yaya di CPCM lagi ngeborong TIKET dan HADIAH!! Seru bangeeet kan 🥰🥰 Mazaya bisa dapetin BANYAK TIKET dan HADIAH EKSKLUSIF dengan gampang, loh! Pengen kayak Mazaya juga?? Seru banget kan?! Pengen juga dapetin banyak tiket dan hadiah kayak Mazaya?? Yuk, langsung ke lantai 2 Mall Carstensz di Gading Serpong. #CowPlayCowMoo #CowPlayCowMooIndonesia #CPCMIndonesia #CPCM #Playground ;1;7283064985515871494;13;1254;4;0;0;0;1269447;52;17;2025-03-24 16:07:33
2023-10-25 08:32:45;✨Asupan inner child ala @Fujiiian ✨ Apa aja sih asupannya? Cobain lebih dari 200+ GAMES, termasuk games yang CUMAN ADA di CPCM! Kumpulin BANYAK TIKET dan dapetin hadiah-hadiah LICENSED PRIZES dengan gampang!🤩 Pengen bikin happy inner child kamu juga? Langsung ke 📍 lantai 2, Mall Carstensz, Gading Serpong #CowPlayCowMoo #CowPlayCowMooIndonesia #CPCM #CPCMIndonesia #Playground ;1;7293811218366729478;7;1853;3;0;0;0;2359419;49;18;2025-03-24 16:07:33
2024-11-08 12:55:06;Hantunya penasaran main mesin capit Labubu Halloween series 😭 #labubu #labubuthemonsters #labubuhalloween #halloween #mesincapit #permainan #cpcm #cpcmindonesia ;1;7434891179533061431;1076;6665;128;0;0;0;1471999;244;34;2025-03-24 16:07:33
2025-02-12 14:53:19;Jangan ajak siapa tuh ges…..? #gayunglope #gayunglopepink #cpcm #valentine #cokelatvalentine #cpcmid ;1;7470545807318600980;1;28;1;0;0;0;1909;1;1;2025-03-24 16:07:33
2025-02-15 09:18:33;Ada yang tau gak judul lagunya? 🥰 #valentine #harivalentine #harikasihsayang #cpcm #cpcmid #cowplaycowmooindonesia ;1;7471572796695399700;6;31;1;0;0;0;1741;7;0;2025-03-24 16:07:33
2025-02-17 10:36:55;Bikin tiket jadi emas 🤑🤑🤑 #cpcm #cowplaycowmooindonesia #cpcmid #cpcmgadingserpong #gamearcade;1;7472335143357730069;2;19;0;0;0;0;1240;2;0;2025-03-24 16:07:33
2025-02-18 02:30:07;Kapan mau ke CPCM ? 🥳 #cpcm #cpcmid #cowplaycowmooindonesia #cowplaycowmoo #zimomo #labubu #crayonshinchan ;1;7472580795539000583;1;21;0;0;0;0;1307;2;1;2025-03-24 16:07:33
2025-02-19 06:38:44;Merchandise gratis buat yang udah lolos test 🥳 #cpcm #cpcmid #cowplaycowmoo #cowplaycowmooindonesia #gamearcade #zimomo #labubu ;1;7473015977001651463;114;1643;4;0;0;0;43097;205;3;2025-03-24 16:07:33
2025-02-19 12:22:58;Barang paling langka dari CPCM: Jumlahnya cuma satu pieces 🤐 #CPCM  #CowPlayCowMoo #CPCMIndonesia #CowPlayCowMooIndonesia #playground #cpcmindonesia #crayonshinchan #shinchanfigurine;1;7473104670915955969;1;11;0;0;0;0;1569;1;0;2025-03-24 16:07:33
2025-02-25 08:01:02;Mau koleksi merchandise dari Pop Mart? Cek langsung di CPCM yuk #cpcm #cpcmid #cowplaycowmoo #popmart #popmartid #popmart ;1;7475263687683575048;0;3;0;0;0;0;1369;0;0;2025-03-24 16:07:33
2025-02-25 15:12:24;Kenapa sih mesti bohong, padahal bisa dapet banyak 😞 #CPCM #cpcmid #cowplaycowmoo #disney #emas #marvel ;1;7475374826123824405;3;10;1;0;0;0;1703;0;0;2025-03-24 16:07:33
2025-02-27 07:28:59;Kalo kalian apa board game terfavoritnya? #cpcm #cpcmid #boardgame #monopoly #catur #ludo #giveaway ;1;7475997598088695047;8;61;0;0;0;0;2281;3;1;2025-03-24 16:07:33
2025-02-28 10:10:00;🥹🥹🥹 #cpcm #cpcmid #cowplaycowmoo #hiburan #wisata;1;7476410191190281480;2;18;2;0;0;0;1573;2;1;2025-03-24 16:07:33
2025-03-01 11:15:34;Wah ini dia promo paling seru di CPCM. Kamu bisa dapetin lebih banyak tokens spesial di bulan Ramadhan. Daripada jauh-jauh ke luar kota, libur bulan ini ke CPCM aja yuk 🥳. Semakin seru ya! #CPCM  #CowPlayCowMoo #CPCMIndonesia #CowPlayCowMooIndonesia #playground #cpcmindonesia  #gamearcade ;1;7476798169360125192;2;5;0;0;0;0;924;1;0;2025-03-24 16:07:33
2025-03-03 11:45:43;Siapa yang mau kartunya? 😍  #cpcm #cpcmid #cowplaycowmooindonesia #donaldduck ;1;7477548101142613249;2;20;0;0;0;0;1538;5;0;2025-03-24 16:07:33
2025-03-07 14:19:43;Dapet merchandise Donald Duck gratis tanpa tuker tiket? Bisa kok! Yuk ke CPCM KUJI edisi Donald Duck. Hanya di bulan ini kami bisa bawa pulang merch lucu ini. Semuanya asli berlisensi Disney! Tunggu apalagi? Yuk top up sekarang! #cpcm #cpcmid #cowplaycowmoo #cowplaycowmooindonesia #donaldduck #cpcmkuji ;1;7479072134308891922;3;11;0;0;0;0;1094;1;0;2025-03-24 16:07:33
2025-03-11 04:27:38;Borong ketupatnya sekarang di CPCM #cpcm #cowplaycowmoo #ketupat #promolebaran ;1;7480403894128905480;3;11;0;0;0;0;665;0;0;2025-03-24 16:07:33
2025-03-14 03:51:21;Kemarin @Fujiiian dateng ke CPCM cabang Pluit Village. Yakin kamu gamau ikutan tren Fuji bowling di sini? 😍 #cpcmpv #bowling #fujitrendtiktok #bowlingtiktok #bowlingfujifyp  ;1;7481507788372331784;19;59;0;0;0;0;3039;21;2;2025-03-24 16:07:33
2025-03-17 04:48:49;Mau jadi bintang TikTok kayak Fuji? Sekarang giliran kamu pamer gaya kece main bowling di CPCM Pluit Village!  Periode lomba: 14 – 31 Maret 2025 📌 Cara Ikutan: 1️⃣ Datang & main bowling di CPCM Pluit Village  2️⃣ Rekam aksi kerenmu ala seleb TikTok!  3️⃣ Upload & tag kami di video kamu di Tiktok atau Instagram!  4️⃣ Gunakan Hashtag #CPCMXFujiBowling  Menangkan hadiah spesial dari Disney & Shinchan untuk 3 pemenang!  Jadi, siap buat viral? Yuk strike & record sekarang!  #BowlingAlaFuji #CPCMPluitVillage #cpcmbowling ;1;7482635859041209618;2;31;1;0;0;0;3476;1;0;2025-03-24 16:07:33
