video_id;title;number_of_views;video_length;description;published_time;is_live_content;crawl_time
_8Wy1ziMha8;Pesta Ulang Tahun di Cow Play Cow Moo!;178;0:29;;1 year ago;;2025-03-24 14:23:57
aCp9IfNUkDA;COW PLAY COW MOO Arcade Terbesar di Singapore Hadir di Indonesia;401;0:07;;1 year ago;;2025-03-24 14:23:57
FIkczx48dSA;Grand Opening CPCM Pluit Village.;59;1:06;;3 months ago;;2025-03-24 14:23:57
NUtaxvIoeBw;COW PLAY COW MOO SUDAH HADIR DI GADING SERPONG;2266669;0:33;;1 year ago;;2025-03-24 14:23:57
WdFIs-wOfIY;MAIN DI CPCM, BANYAK SERUNYA!;323;0:36;;1 year ago;;2025-03-24 14:23:57
FIkczx48dSA;Grand Opening CPCM Pluit Village.;60;1:06;;3 months ago;;2025-03-25 10:06:00
_8Wy1ziMha8;Pesta Ulang Tahun di Cow Play Cow Moo!;178;0:29;;1 year ago;;2025-03-25 10:06:00
WdFIs-wOfIY;MAIN DI CPCM, BANYAK SERUNYA!;324;0:36;;1 year ago;;2025-03-25 10:06:00
aCp9IfNUkDA;COW PLAY COW MOO Arcade Terbesar di Singapore Hadir di Indonesia;402;0:07;;1 year ago;;2025-03-25 10:06:00
NUtaxvIoeBw;COW PLAY COW MOO SUDAH HADIR DI GADING SERPONG;2266670;0:33;;1 year ago;;2025-03-25 10:06:00
